level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1650	1275	-1	
2	1	1	0	0	0	676	160	619	918	-1	
3	1	1	1	0	0	676	160	619	230	-1	
4	1	1	1	1	0	676	160	619	74	-1	
5	1	1	1	1	1	676	160	190	74	37.166782	STR/
5	1	1	1	1	2	949	160	346	74	37.166782	\TEGEM
4	1	1	1	2	0	681	358	287	32	-1	
5	1	1	1	2	1	681	358	55	25	96.504318	This
5	1	1	1	2	2	749	358	16	25	96.504318	is
5	1	1	1	2	3	775	361	29	22	96.825409	to
5	1	1	1	2	4	817	358	84	32	96.756493	certify
5	1	1	1	2	5	910	358	58	24	96.880188	that:
3	1	1	2	0	0	683	595	502	91	-1	
4	1	1	2	1	0	683	595	502	33	-1	
5	1	1	2	1	1	683	595	49	24	96.874077	Has
5	1	1	2	1	2	745	595	126	33	96.263100	complete
5	1	1	2	1	3	881	595	45	25	93.275215	the
5	1	1	2	1	4	938	595	137	33	92.646736	Strategem
5	1	1	2	1	5	1089	603	96	17	96.468109	course:
4	1	1	2	2	0	683	654	280	32	-1	
5	1	1	2	2	1	683	654	137	32	96.607330	Building
5	1	1	2	2	2	845	654	7	24	95.985550	A
5	1	1	2	2	3	866	654	97	24	95.082771	Home
3	1	1	3	0	0	683	765	196	25	-1	
4	1	1	3	1	0	683	765	196	25	-1	
5	1	1	3	1	1	683	765	65	25	92.562607	Date
5	1	1	3	1	2	759	765	120	25	37.077934	x/xx/xx
3	1	1	4	0	0	685	1024	495	19	-1	
4	1	1	4	1	0	685	1024	495	19	-1	
5	1	1	4	1	1	685	1024	88	19	96.222137	Founder
5	1	1	4	1	2	1091	1024	89	19	96.410149	Founder
3	1	1	5	0	0	681	1053	527	25	-1	
4	1	1	5	1	0	681	1053	527	25	-1	
5	1	1	5	1	1	681	1054	69	24	96.756889	Drew
5	1	1	5	1	2	760	1054	95	24	96.849991	Stevens
5	1	1	5	1	3	1087	1053	47	24	96.952721	Ken
5	1	1	5	1	4	1147	1053	61	24	96.863937	Pinto
